video_id,cvt_per_day,weighted_categorical_position,weighted_horizontal_poition,import_id,release_year,genres,imdb_votes,budget,boxoffice,imdb_rating,duration_in_mins,metacritic_score,awards,mpaa,star_category
385504,307127.6056,1,3,lionsgate,2013,"Action,Thriller,Drama",69614,15000000,42930462,6.5,112.3010167,51,other award,PG-13,1.71
300175,270338.4264,1,3,lionsgate,2013,"Comedy,Crime,Thriller",46705,15000000,3301046,6.5,94.98325,41,no award,R,3.25
361899,256165.8674,1,3,other,2012,"Crime,Drama",197596,26000000,37397291,7.300000191,115.7636748,58,other award,R,2.646666667
308314,196622.721,3,4,lionsgate,2008,"Thriller,Drama,War,Documentary,Mystery,Action",356339,15000000,15700000,7.599999905,130.7035833,94,Oscar,R,1.666666667
307201,159841.6521,1,3,lionsgate,2013,"Crime,Thriller,Mystery,Documentary",46720,27220000,8551228,6.400000095,105.5455333,37,other award,R,3.066666667
389496,135076.6098,1,5,mgm,2000,Comedy,13250,60000000,32095318,5.5,98.46835,37,no award,PG-13,2.75
385507,134155.7402,1,6,lionsgate,2013,"Action,Adventure,Thriller",16188,11000000,8551228,5.199999809,94.33641667,57,other award,R,2.74
380517,116906.0079,1,7,lionsgate,2014,"Western,Drama",24321,16000000,2428883,6.599999905,123.3025167,68,other award,R,3.002777778
369857,116871.1216,2,9,lionsgate,2013,"Thriller,Crime,Western",119679,45000000,12026670,6.400000095,107.2128333,54,other award,R,1.822222222
393463,111565.5967,2,7,lionsgate,2009,"Action,Adventure,Sci-Fi,Fantasy,Thriller",0,0,0,0,94.74844845,0,other award,R,2.07962963
307719,103283.8993,3,5,lionsgate,2004,"Crime,Drama",377227,6500000,54557348,7.800000191,112.44375,69,Oscar,R,2.363333333
302360,98665.99034,1,4,lionsgate,2012,"Action,Mystery,Thriller",21575,10400000,8551228,5.699999809,97.5,57,other award,R,2.214285714
300842,94997.15808,3,9,lionsgate,2007,"Crime,Horror,Mystery,Drama,Thriller",27189,8000000,3992339,5.900000095,97.61666667,37,other award,R,1.325
326237,93536.51417,3,10,lionsgate,2007,"Sport,Kids & Family,Drama",5636,1500000,8551228,5.800000191,108.9054833,55,other award,PG,1.520588235
300243,91924.54701,2,4,lionsgate,2012,"Action,Thriller,Mystery,Drama",75053,23000000,18934858,5.800000191,92.8457,67,other award,R,3.111904762
304373,91909.06165,1,4,lionsgate,2008,"Horror,Mystery",46128,12000000,31397498,5.400000095,96.58333333,36,other award,PG-13,2.029166667
334155,90767.52554,3,6,mgm,2008,"Animation,Comedy,Kids & Family",20095,25000000,19528188,6,86.56755,40,other award,PG,1.39122807
385498,87951.00739,1,5,lionsgate,2012,"Drama,Thriller",44223,12000000,7918283,6.599999905,107.4963833,73,Golden Globe,R,2.25
310134,86687.09676,3,10,mgm,1997,"Crime,Drama",8683,30000000,23461013,6.199999809,130.40915,50,other award,R,1.666666667
369854,85322.70708,2,11,lionsgate,2014,"Thriller,Drama,Crime",39129,4000000,371897,6.900000095,117.76945,74,other award,R,1.920833333
299578,84165.94063,2,8,lionsgate,2006,"Horror,Mystery,Thriller",22862,14000000,16298046,5,90.26191667,38,other award,PG-13,1.825
289827,82710.22907,3,9,lionsgate,2008,"Crime,Comedy",17615,22000000,20668843,5.800000191,103.95,41,other award,PG-13,2.625
376073,81227.02088,2,11,lionsgate,2010,"Action,Horror,Thriller",109896,20000000,29975979,6.5,97.81578333,57,other award,R,2.16
313883,80567.83915,3,8,lionsgate,2011,"Comedy,Drama,Romance",280266,8000000,34963967,7.699999809,100.038,72,Golden Globe,R,3
376177,78573.86409,2,12,lionsgate,2015,Action,40985,30000000,8551228,5.599999905,92.32851667,40,no award,R,1.914102564
300460,77369.9955,3,10,mgm,1987,"Comedy,Romance",39965,1500000,8551228,6.800000191,112.2261667,53,other award,PG,2.583333333
302266,75614.83861,3,5,mgm,2007,"Romance,Comedy",13137,1500000,8551228,5.699999809,91.68333333,57,no award,R,2.5
332927,75590.95696,3,8,lionsgate,2009,"Drama,Thriller,War",92303,26000000,28501651,7.099999905,104.6394167,58,Golden Globe,R,1.930208333
380522,74770.79536,2,6,lionsgate,2014,Drama,34610,2000000,60755732,4.800000191,113.0396833,16,no award,PG,1.5375
394072,74153.41399,3,8,mgm,2000,Thriller,47562,42000000,16252765,6,116.1963333,33,other award,R,2.175
354720,73298.31603,3,6,lionsgate,2010,"Drama,Thriller",117575,2000000,6531491,7.199999809,100.0166834,90,Oscar,R,2.075
332932,71299.35788,2,8,lionsgate,2010,"Horror,Drama,Thriller",9069,1000000,8551228,5.400000095,92.77896667,57,other award,R,1
348935,70320.07624,3,9,lionsgate,2010,"Horror,Thriller",55467,1500000,8551228,6.199999809,93.27860208,43,other award,R,1.55
312416,69342.91527,1,4,mgm,2006,"Action,Crime,Drama,Adventure,Thriller",56152,2000000,3335839,6.900000095,116.1578667,56,other award,R,2.933333333
305457,68597.27777,5,8,paramount,2009,"Comedy,Kids & Family,Drama",10925,55000000,16088610,5.599999905,107.0838667,54,other award,PG,1.75
302437,67470.74351,3,7,lionsgate,2012,"Crime,Thriller",130199,42000000,18600911,6.599999905,102.35,40,other award,PG-13,2.625
322939,67182.33152,3,8,paramount,2003,"Comedy,Music,Kids & Family",219006,35000000,81257845,7.099999905,109.1995333,82,Golden Globe,PG-13,1.631818182
322948,66999.8164,4,14,paramount,2003,"Drama,Sci-Fi,Action,Adventure",54254,80000000,19480739,5.599999905,115.4666333,28,no award,PG-13,2.146666667
361903,66867.22187,1,7,other,2011,Drama,38431,15000000,4439063,6.800000191,104.6386609,69,other award,R,3.027777778
314549,65817.59459,4,16,paramount,2003,"Comedy,Drama,Music,Romance",6025,15000000,30238577,5.5,122.8451167,53,other award,PG-13,3
312173,65193.04719,2,10,mgm,2003,"Crime,Drama,Romance,Thriller",17716,15000000,9059588,6.599999905,117.9860833,57,other award,R,2.616666667
380514,65061.96612,2,17,lionsgate,2008,"Comedy,Thriller",5587,7500000,4131640,3.200000048,96.21433333,17,other award,PG-13,2.35
306927,62959.44324,5,10,mgm,1990,"Adventure,Drama,Western",195762,22000000,184208848,8,181.11515,72,Oscar,PG-13,1.666666667
343314,61922.50061,3,6,lionsgate,2000,"Music,Comedy,Horror,Action,Fantasy",4729,1500000,8551228,3.599999905,90.77202202,57,other award,R,1.116666667
337825,61551.58901,3,8,other,2013,"Comedy,Drama",7819,1500000,8551228,5.800000191,97.82008888,50,other award,R,1.666666667
308307,61039.88122,3,15,lionsgate,2010,"Thriller,Drama,Mystery",126451,3000000,1028658,7,95.38138333,65,other award,R,1.666666667
380515,59799.34256,3,8,lionsgate,2015,Thriller,49890,50000000,1206135,6.5,137.18165,41,other award,R,2.319047619
307561,59565.06992,4,9,paramount,1995,"Comedy,Kids & Family,Drama",16000,1500000,8551228,5.800000191,100.8972833,45,other award,PG,1.666666667
289781,59232.33807,3,9,lionsgate,2009,"Drama,Horror,Mystery",31932,4500000,108229,5.900000095,102.8216333,36,other award,R,3
316461,58040.73778,2,9,lionsgate,2005,"Thriller,Independent,Crime,Drama,Horror,Mystery",136335,950000,1007962,7.099999905,104.09305,58,other award,R,1.666666667
380523,56722.04675,3,16,lionsgate,2014,Drama,4204,1500000,8551228,6.5,101.4732667,47,Golden Globe,R,2.058333333
